station_id,phase_time,phase_score,phase_type,dt
C,2017-03-03 13:26:46.878,0.389,S,0.01
C,2017-03-03 13:28:04.198,0.349,S,0.01
C,2017-03-03 13:29:39.638,0.522,S,0.01
C,2017-03-03 13:31:06.808,0.682,S,0.01
C,2017-03-03 13:31:25.448,0.456,S,0.01
C,2017-03-03 13:31:35.418,0.501,S,0.01
C,2017-03-03 13:33:10.998,0.397,S,0.01
C,2017-03-03 13:34:47.158,0.316,S,0.01
C,2017-03-03 13:35:32.808,0.415,S,0.01
C,2017-03-03 13:36:28.118,0.356,S,0.01
C,2017-03-03 13:36:56.888,0.513,S,0.01
C,2017-03-03 13:42:53.428,0.547,S,0.01
C,2017-03-03 13:43:49.688,0.426,S,0.01
C,2017-03-03 13:44:13.898,0.499,S,0.01
C,2017-03-03 13:44:47.328,0.418,S,0.01
C,2017-03-03 13:45:59.258,0.565,S,0.01
C,2017-03-03 13:46:08.958,0.327,S,0.01
C,2017-03-03 13:48:04.168,0.725,S,0.01
C,2017-03-03 13:48:18.398,0.37,S,0.01
C,2017-03-03 13:50:38.688,0.382,S,0.01
C,2017-03-03 13:51:02.398,0.354,S,0.01
C,2017-03-03 13:51:54.218,0.337,S,0.01
C,2017-03-03 13:52:13.288,0.491,S,0.01
C,2017-03-03 13:56:08.988,0.507,S,0.01
C,2017-03-03 13:57:16.248,0.437,S,0.01
C,2017-03-03 13:58:42.678,0.307,S,0.01
C,2017-03-03 14:04:52.388,0.534,S,0.01
C,2017-03-03 14:12:42.178,0.344,S,0.01
C,2017-03-03 14:14:47.198,0.347,S,0.01
C,2017-03-03 14:15:06.458,0.367,S,0.01
C,2017-03-03 14:15:59.158,0.335,S,0.01
C,2017-03-03 14:17:59.118,0.31,S,0.01
C,2017-03-03 14:21:16.298,0.439,S,0.01
C,2017-03-03 14:21:21.318,0.884,S,0.01
C,2017-03-03 14:21:59.318,0.329,S,0.01
C,2017-03-03 14:28:56.858,0.404,S,0.01
C,2017-03-03 14:37:40.218,0.745,S,0.01
C,2017-03-03 14:38:04.478,0.354,S,0.01
C,2017-03-03 14:42:47.618,0.643,S,0.01
C,2017-03-03 14:43:01.578,0.313,S,0.01
C,2017-03-03 14:44:42.008,0.34,S,0.01
C,2017-03-03 14:46:23.858,0.376,S,0.01
C,2017-03-03 14:47:54.238,0.308,S,0.01
