index,network,station,location,instrument,component,sensitivity,latitude,longitude,elevation_m,depth_km,x_km,y_km,z_km,provider
NC.AFD..HN,NC,AFD,,HN,ENZ,"[153511.38, 213926.13, 153511.38, 213926.13, 153511.38, 213926.13]",38.945961,-120.968971,505.0,-0.505,-127.368,161.522,-0.505,NC
NC.AFH..EH,NC,AFH,,EH,Z,"[95960399.2340725, 95779998.5385425]",39.039948,-120.795006,1039.0,-1.039,-112.138,171.732,-1.039,NC
NC.AFL.01.EH,NC,AFL,01,EH,Z,[395665000.0],38.760869,-121.105383,218.0,-0.218,-139.551,141.168,-0.218,NC
NC.AFL.01.HN,NC,AFL,01,HN,ENZ,"[202863.0, 202863.0, 202863.0]",38.760869,-121.105383,218.0,-0.218,-139.551,141.168,-0.218,NC
NC.AFL.20.HN,NC,AFL,20,HN,ENZ,"[204000.0, 204000.0, 204000.0]",38.760869,-121.105383,218.0,-0.218,-139.551,141.168,-0.218,NC
NC.AFO..EH,NC,AFO,,EH,Z,"[243309.0, 199319000.0, 199319000.0]",38.944832,-120.96833,524.0,-0.524,-127.314,161.395,-0.524,NC
NC.AFR..EH,NC,AFR,,EH,Z,"[95960399.2340725, 95779998.5385425, 191559209.768725, 95779998.5385425]",38.79221,-121.349266,10.0,-0.01,-160.681,145.042,-0.01,NC
NC.AGI..EH,NC,AGI,,EH,Z,[191920009.676897],38.844666,-120.981331,305.0,-0.305,-128.619,150.292,-0.305,NC
NC.AHR..EH,NC,AHR,,EH,Z,"[191920009.676897, 767680038.707589, 766236839.0749, 95779998.5385425]",38.854839,-121.072037,349.0,-0.349,-136.475,151.551,-0.349,NC
NC.ALA..EH,NC,ALA,,EH,Z,"[767680038.707589, 383840019.353795, 383118419.53745]",38.567101,-120.956932,263.0,-0.263,-126.984,119.443,-0.263,NC
NC.ALN..EH,NC,ALN,,EH,Z,"[95960399.2340725, 95779998.5385425]",38.929131,-121.287041,27.0,-0.027,-154.981,160.138,-0.027,NC
NC.AOD..EH,NC,AOD,,EH,Z,"[383840019.353795, 383118419.53745]",38.614719,-120.730225,504.0,-0.504,-107.155,124.444,-0.504,NC
NC.AOH..EH,NC,AOH,,EH,Z,"[383840019.353795, 767680038.707589, 383840019.353795, 95960399.2340725, 191920009.676897, 191559209.768725]",39.376266,-121.257668,410.0,-0.41,-151.489,209.738,-0.41,NC
NC.APG..EH,NC,APG,,EH,Z,"[99659800.0, 99659800.0, 99659800.0, 99659800.0, 99659800.0, 99659800.0, 99659800.0]",38.792645,-121.358589,2.0,-0.002,-161.49,145.107,-0.002,NC
NC.APR..EH,NC,APR,,EH,Z,"[383840019.353795, 767680038.707589, 766236839.0749]",38.877029,-121.218231,113.0,-0.113,-149.121,154.24,-0.113,NC
